	CpH1  	CpH2 	CpH3 	CpH4 	CpH5  	CpH6	CpH7	CpH8 	CpH9	CpH10  	CpH11	CpH12 	CpH13	CpH14 	CpH15 	CpH16 	CpH18
PfH1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PfH3	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PfH6	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PfH9	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PfH10	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PfH12	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PfH13	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PfH14	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PfH15	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PfH16	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PfH17	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PfH19	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PfH21	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PfH22	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PfH23	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PfH24	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PfH25	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PfH26	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
PfH27	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PfH28	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PfH29	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PfH30	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PfH31	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PfH32	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PfH33	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PfH34	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
PfH35	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0
PfH36	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
PfH37	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
PfH38	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
PfH39	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
PfH40	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PfH41	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PfH42	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PfH43	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
PfH44	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
PfH45	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
PfH48	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
PfH56	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
PfH57	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
PfH60	1	0	0	0	0	0	1	1	1	1	0	1	1	0	1	0	0
PfH62	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
PfH63	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PfH66	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PfH67	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PfH68	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PfH70	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PfH71	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PfH72	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PfH73	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PfH74	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PfH75	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PfH76	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PfH79	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	1	0
PfH80	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
PfH81	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
PfH82	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
PfH83	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
PfH84	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
